Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C3,C_0402_1005Metric,,1
0.1uF,C4,C_0402_1005Metric,,1
Fuse,F1,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,,1
0.1uF,C2,C_0402_1005Metric,,1
0.1,C7,C_0402_1005Metric,,1
0.1,C10,C_0402_1005Metric,,1
Conn_01x07_Pin,J4,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x02_Socket,J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
Conn_01x07_Pin,J3,PinSocket_1x07_P2.54mm_Vertical,,1
10uF,C6,C_0603_1608Metric,,1
100,C9,CP_Radial_D6.3mm_P2.50mm,,1
0.1uF,C5,C_0402_1005Metric,,1
100,C11,CP_Radial_D6.3mm_P2.50mm,,1
Conn_01x02_Socket,J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
0.1uF,C1,C_0402_1005Metric,,1
NJM2391DL1-33-TE1,IC2,NJM2391DL1-33-TE1,,1
SW_Push_DPDT,SW1,Toggle,,1
0.1,C12,C_0402_1005Metric,,1
NJM7805SDL1-TE1,IC1,NJM7805SDL1TE1,,1
0.1,C8,C_0402_1005Metric,,1
Conn_02x05_Odd_Even,J6,IDC-Header_2x05_P2.54mm_Vertical,,1
Conn_01x07_Pin,J9,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x02_Socket,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
Conn_01x07_Pin,J8,PinSocket_1x07_P2.54mm_Vertical,,1
